Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
533,15466	2,3301	0,35753	533,15466	2,40395	0,40363	533,15466	2,67596	0,4806
534,73438	2,32732	0,35656	534,73438	2,40181	0,4016	534,73438	2,67397	0,47748
536,31409	2,32452	0,35565	536,31409	2,39965	0,39962	536,31409	2,67195	0,47444
537,8938	2,32172	0,35478	537,8938	2,39747	0,3977	537,8938	2,66991	0,47148
539,47345	2,31891	0,35396	539,47345	2,39527	0,39583	539,47345	2,66785	0,46861
541,0531	2,31609	0,35319	541,0531	2,39305	0,39402	541,0531	2,66577	0,46581
542,63269	2,31326	0,35247	542,63269	2,39082	0,39226	542,63269	2,66368	0,46309
544,21228	2,31043	0,35179	544,21228	2,38856	0,39055	544,21228	2,66156	0,46045
545,79181	2,30759	0,35117	545,79181	2,38629	0,38889	545,79181	2,65944	0,45788
547,37134	2,30474	0,3506	547,37134	2,38401	0,38728	547,37134	2,6573	0,45539
548,95081	2,30189	0,35007	548,95081	2,3817	0,38573	548,95081	2,65514	0,45297
550,53027	2,29903	0,3496	550,53027	2,37939	0,38423	550,53027	2,65298	0,45062
552,10968	2,29617	0,34917	552,10968	2,37706	0,38277	552,10968	2,65081	0,44835
553,68909	2,29331	0,34879	553,68909	2,37471	0,38137	553,68909	2,64863	0,44615
555,26843	2,29044	0,34845	555,26843	2,37236	0,38002	555,26843	2,64644	0,44402
556,84778	2,28757	0,34817	556,84778	2,36999	0,37873	556,84778	2,64424	0,44196
558,42706	2,2847	0,34793	558,42706	2,36761	0,37748	558,42706	2,64204	0,43997
560,00629	2,28182	0,34774	560,00629	2,36523	0,37628	560,00629	2,63984	0,43804
561,58551	2,27894	0,3476	561,58551	2,36283	0,37513	561,58551	2,63763	0,43618
563,16467	2,27607	0,3475	563,16467	2,36042	0,37403	563,16467	2,63542	0,43439
564,74384	2,27319	0,34745	564,74384	2,358	0,37298	564,74384	2,63321	0,43266
566,32294	2,27031	0,34745	566,32294	2,35558	0,37198	566,32294	2,631	0,431
567,90198	2,26744	0,3475	567,90198	2,35315	0,37103	567,90198	2,62879	0,4294
569,48108	2,26456	0,34759	569,48108	2,35071	0,37013	569,48108	2,62658	0,42786
571,06006	2,26169	0,34772	571,06006	2,34827	0,36927	571,06006	2,62437	0,42638
572,63904	2,25882	0,34791	572,63904	2,34582	0,36847	572,63904	2,62217	0,42496
574,21796	2,25595	0,34814	574,21796	2,34337	0,36771	574,21796	2,61996	0,42361
575,79681	2,25308	0,34841	575,79681	2,34091	0,367	575,79681	2,61777	0,42231
577,37567	2,25022	0,34873	577,37567	2,33845	0,36634	577,37567	2,61557	0,42107
578,95447	2,24736	0,3491	578,95447	2,33599	0,36572	578,95447	2,61339	0,41988
580,53333	2,24451	0,34951	580,53333	2,33352	0,36515	580,53333	2,61121	0,41875
582,112	2,24166	0,34996	582,112	2,33105	0,36463	582,112	2,60903	0,41768
583,69067	2,23882	0,35046	583,69067	2,32858	0,36415	583,69067	2,60687	0,41666
585,26935	2,23598	0,351	585,26935	2,32611	0,36372	585,26935	2,60471	0,4157
586,84796	2,23315	0,35159	586,84796	2,32364	0,36334	586,84796	2,60256	0,41479
588,42651	2,23033	0,35222	588,42651	2,32117	0,363	588,42651	2,60042	0,41393
590,00501	2,22751	0,3529	590,00501	2,31869	0,3627	590,00501	2,59829	0,41312
591,5835	2,22471	0,35362	591,5835	2,31622	0,36245	591,5835	2,59617	0,41236
593,16199	2,22191	0,35438	593,16199	2,31376	0,36225	593,16199	2,59406	0,41166
594,74036	2,21911	0,35519	594,74036	2,31129	0,36209	594,74036	2,59196	0,411
596,31873	2,21633	0,35604	596,31873	2,30882	0,36197	596,31873	2,58987	0,41039
597,89697	2,21356	0,35693	597,89697	2,30636	0,3619	597,89697	2,5878	0,40983
599,47522	2,2108	0,35787	599,47522	2,30391	0,36187	599,47522	2,58574	0,40931
601,05347	2,20805	0,35885	601,05347	2,30145	0,36189	601,05347	2,58369	0,40884
602,63165	2,20531	0,35987	602,63165	2,299	0,36195	602,63165	2,58165	0,40842
604,20978	2,20258	0,36093	604,20978	2,29656	0,36205	604,20978	2,57962	0,40804
605,78778	2,19986	0,36203	605,78778	2,29412	0,36219	605,78778	2,57761	0,4077
607,36585	2,19716	0,36318	607,36585	2,29169	0,36237	607,36585	2,57562	0,40741
608,94379	2,19447	0,36436	608,94379	2,28926	0,3626	608,94379	2,57364	0,40716
610,52173	2,19179	0,36559	610,52173	2,28684	0,36287	610,52173	2,57167	0,40696
612,09961	2,18913	0,36686	612,09961	2,28443	0,36318	612,09961	2,56972	0,40679
613,67743	2,18648	0,36817	613,67743	2,28202	0,36353	613,67743	2,56778	0,40667
615,25525	2,18384	0,36951	615,25525	2,27962	0,36392	615,25525	2,56586	0,40658
616,83295	2,18122	0,3709	616,83295	2,27723	0,36436	616,83295	2,56396	0,40654
618,41065	2,17862	0,37233	618,41065	2,27485	0,36483	618,41065	2,56207	0,40653
619,98828	2,17603	0,3738	619,98828	2,27248	0,36534	619,98828	2,5602	0,40656
621,5658	2,17346	0,37531	621,5658	2,27012	0,36589	621,5658	2,55834	0,40663
623,14337	2,1709	0,37686	623,14337	2,26777	0,36649	623,14337	2,5565	0,40674
624,72083	2,16836	0,37844	624,72083	2,26542	0,36712	624,72083	2,55468	0,40688
626,29822	2,16584	0,38006	626,29822	2,26309	0,36779	626,29822	2,55288	0,40706
627,87561	2,16334	0,38173	627,87561	2,26077	0,36849	627,87561	2,55109	0,40727
629,45294	2,16086	0,38343	629,45294	2,25846	0,36924	629,45294	2,54932	0,40752
631,03015	2,15839	0,38517	631,03015	2,25617	0,37003	631,03015	2,54757	0,40781
632,60736	2,15595	0,38694	632,60736	2,25388	0,37085	632,60736	2,54584	0,40812
634,18451	2,15353	0,38875	634,18451	2,25161	0,37171	634,18451	2,54412	0,40847
635,7616	2,15112	0,3906	635,7616	2,24935	0,3726	635,7616	2,54243	0,40886
637,33868	2,14874	0,39249	637,33868	2,24711	0,37353	637,33868	2,54075	0,40927
