Environnement : Air / n = 1 
Cube : Argent / n(lambda) / 70 nm
Gap diélectrique / n = 1.45 / 5 nm
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Couche métallique : Or / n(lambda) / 20 nm
Substrat : SiO2 / n = 1.5 / 200 nm

Wavelengths (nm) 	 Rd 	 Rd_mol	 Ru 	 Ru_mol 	 Td 	 Td_mol	 Tu 	 Tu_mol 
450.0, 0.17303900986460333	, 0.17109637937260055	, 0.09641275691682903	,0.09564686758021905	,0.3071709556506779	,0.3093739058779292	,0.3071709556500715	,0.3093739058773253
968.3544303797469, 0.47913387661594814	, 0.5245238864114051	, 0.02106309239510619	,0.040339844792200284	,0.26159094546975725	,0.20948619141983657	,0.2615909454726243	,0.20948619142199718
981.6455696202531, 0.4580533576488492	, 0.4751680193243785	, 0.06076609746654123	,0.024467726207823805	,0.30153185008410077	,0.2670780598449872	,0.3015318500907631	,0.26707805985065086
994.9367088607595, 0.46516170720958433	, 0.45955517615197594	, 0.13845389825095528	,0.07117906422678749	,0.31784105978167626	,0.30210637410352753	,0.31784105978430666	,0.3021063741049654
1008.2278481012659, 0.48784020723111293	, 0.46967227243874043	, 0.22589429533399555	,0.1504685795072182	,0.3173915548069892	,0.31495514311865463	,0.3173915548095242	,0.31495514312064704
1021.5189873417721, 0.516236001841703	, 0.49330153107563235	, 0.30768628718145935	,0.23659359381946235	,0.3077693233566141	,0.31282079971837456	,0.30776932336237917	,0.31282079972519017
1034.8101265822784, 0.5450199282697765	, 0.521637393881013	, 0.37858437541897927	,0.3164005443457598	,0.29409411774719807	,0.30265376745531897	,0.29409411775029887	,0.30265376745866546
1048.1012658227849, 0.5718851228054608	, 0.5500115883700138	, 0.43814267845900506	,0.3854442775978168	,0.27916872940998605	,0.28894324056155307	,0.2791687294071351	,0.28894324055755644
1061.392405063291, 0.5960450062196452	, 0.5763457827177297	, 0.48766510976668	,0.44344603767237345	,0.2644250182415179	,0.2742411113015127	,0.2644250182440027	,0.27424111130342793
1074.6835443037976, 0.6174484708623588	, 0.5999836986671175	, 0.5289660853327774	,0.4918505396561338	,0.2505253629190788	,0.259857664847797	,0.2505253629208804	,0.2598576648499742
1087.9746835443038, 0.636372218949977	, 0.6209779382719968	, 0.5637501607828982	,0.5324724502831839	,0.23767442405015168	,0.246317143534592	,0.23767442405049252	,0.24631714353482626
1101.26582278481, 0.6531475402534382	, 0.6395940091619287	, 0.5932919782735848	,0.5667720983699601	,0.2258654431456775	,0.23375480102105706	,0.2258654431470871	,0.23375480102256274
1114.5569620253164, 0.6680628732532684	, 0.6561054934210283	, 0.618558526688504	,0.5958921850082166	,0.2150475140183944	,0.22219546409685126	,0.21504751401725336	,0.22219546409600277
1127.8481012658226, 0.6813787466780001	, 0.6707862273942939	, 0.6403528655019314	,0.6208111702073714	,0.20515327521898907	,0.21161322699105023	,0.20515327521984963	,0.21161322699182072
1141.139240506329, 0.6933335546826475	, 0.6839053787322251	, 0.6593375007891463	,0.6423537255951837	,0.19609849536856658	,0.20193940413408118	,0.19609849536824553	,0.20193940413366981
1154.4303797468356, 0.7041328763712571	, 0.6957031147407853	, 0.6760281477008276	,0.6611619512782827	,0.18778938289954383	,0.19307792975060523	,0.1877893828990912	,0.19307792975017646
1167.7215189873418, 0.7139394534993975	, 0.7063685104378925	, 0.6908083733643621	,0.6777040896657577	,0.18013991880079325	,0.18493599149144763	,0.18013991880140418	,0.18493599149204393
1181.012658227848, 0.7228836104419128	, 0.7160514457778576	, 0.7039796306224295	,0.6923453074809395	,0.17307955575555584	,0.1774384206745851	,0.1730795557561501	,0.1774384206751627
